Artist,Song,Year,Review,Reviewer,Ranking,Source,Source Title
Fischerspooner,Emerge,2003,"Electroclash seemed like a great idea in late 2001; there was a reason for this, and that reason was ""Emerge"". Before we found out that Fischerspooner looked like Cirque du Soleil rejects in greasepaint and silver bodysuits-- when all we heard was that decadent, shiny bump-- Casey Spooner's mantra of ""Feels good/ Looks good/ Sounds good, too/ Feels good, too"" made perfect sense. ""Emerge"" announces its presence with a low drum boom and a gleaming, oscillating two-note synth riff. It builds and builds: tick-tock drum machines, ethereal synth flourishes, howling house divas. Spooner's eerily placid, arch, bitchy Euro-glam monotone floats above the track. The music holds back, not really kicking in until the song is nearly finished, slowly swirling up and up until that berserk climax when the computer shrieks and eats itself and the drums roil like jackhammers. If more electroclash had sounded like this, electroclash might still exist.",Tom Breihan,100,Pitchfork,The Top 100 Singles of 2000-04
T.I.,Rubber Band Man,2004,"Ladies and gentleman, here he is: Nine in his right, 45 in his other hand, children's choir with the Master P ""na na na""s on lock in his back pocket, and a hooptie calliope kicking off steam like a smoke machine-- all courtesy of David Banner. Even when he's talking about some heavy shit-- ""My cousin used to tell me/ Take this shit a day at a time/ And told me Friday, died Sunday/ We a day in the ground""-- T.I. sells it to listeners the same way P.T. Barnum sold rubes on the mystery and wonder of the egress. In fact, T.I.'s going that extra mile to make ""Rubber Band Man"" the Greatest Show On Earth, with multiple versions of himself stumbling over each other like clowns deliriously tumbling out of a Beetle. And, of course, there's no better way to win over a crowd than with Southern charm. T.I. effortlessly slides over syllables like a boy trying to barehand a greased pig, and everything out of his mouth-- be it shout-outs to homies all over or professing he's got the ""soul of an old man""",David Raposa,99,Pitchfork,The Top 100 Singles of 2000-04
Fabolous,Breathe,2004,"On Fabolous' ""Breathe"", knob-twiddling whiz Just Blaze gives Supertramp a post- Magnolia makeover, nipping and tucking ""Crime of the Century"" into appealingly harried falsetto exaltations. But x-out the onomatopoetic piano ripples/asthmatic gasps and Fabolous' asphyxiated a capella becomes a lung-drunk slow jam. The bland libretto is a gangsta's checklist of un-slick metaphors, but somewhere after the midway point the laidback Brooklyn emcee spits ""I see 'em on the block when I passes/ Lookin' like they need oxygen mask-es"" and that extra syllable feels so exceedingly Ogden Nash deft for its winded interlocution, casting a backward glance on the bazillion wheezy details before it.",Brandon Stosuy,98,Pitchfork,The Top 100 Singles of 2000-04
White Stripes,Seven Nation Army,2003,"This one's a uniter not a divider, agreed upon by both my redneck cousin (who is ""proud to be an ugly American"") and by my local guerilla gardener (converted from his skinhead ways upon hearing Oasis). Females reportedly dig this track despite its blustery man-drama about some stoic, cloudy, lone-hero quest. Just as Wilco's ""Jesus, Etc."" preemptively echoed elements of 9/11, this song presciently soundtracked Decision 04: the ""seven nations"" might as well be our coalition in Iraq, the people ""taking their time right behind my back"" could be how U.S. soldiers see the Halliburton contractors, and the line about the Queen of England and the hounds of hell = self explanatory. ""I'm going to Wichita"", presages Thomas Frank's incisive book about Kansas voting. (Though some exegesists believe it's a hundred-years-later comment on the political satire in The Wizard of Oz , as if the whole song were penned by a labor-movement-oriented Black Sabbath.) The end verse about ""bleeding before the Lord"" obviously anticipated the political impact of Mel Gibson's messiah-snuff flick. Oh well, whatever, nevermind, because THAT DUMB RIFF PERFECTLY OUTFORBODES THE DARTH VADER THEME MUSIC. If the Stripes can cross over with their punk brio intact, then Scout Niblett is probably the next Kylie Minogue.",William Bowers,97,Pitchfork,The Top 100 Singles of 2000-04
Eminem,The Real Slim Shady,2000,"Before ""The Real Slim Shady"", Eminem was just another successful (albeit white) rapper. He'd sold a lot of records, but he was a world away from the cover of Time or the Oscar acceptance podium. But when he said, ""There's a million of us just like me/ Who cuss like me/ Who just don't give a fuck like me"" over Dr. Dre's ADD cartoon bounce, all of a sudden it became truth-- which of course led to him being The Voice of a Generation and making a boring movie and churning out dark, ponderous, self-involved music. And so ""The Real Slim Shady"" would be one of our last glimpses at the Eminem who loved making music, who used his lightspeed nasal bleat to hammer sounds until he'd hit every last possible rhyming variation, whose gleefully dumb, goofy jokes were like presents to anyone listening to the radio. He may be a cultural institution now, but he still sounds like a rapper when this track plays.",Tom Breihan,96,Pitchfork,The Top 100 Singles of 2000-04
Johnny Boy,You Are the Generation Who Bought More Shoes and You Get What You Deserve,2004,"It kicks off with a twinkling version of the ""Be My Baby"" drum break, the launching pad for a compact extravaganza that old gun-totin' Phil would have messed himself with pride over. ""And I just can't help believin'/ Though believin' sees me cursed"" they sing to start the buildup to the title refrain. On the way, there's a ghostly ""woooooooo!"" in the background and the drums kick it up a notch and we're off into some kind of stratosphere that sounds like every Christmas carol ever recorded all at once, only better. The glockenspiels are glockenspieling with glee, this dude is walloping his drums like they stole money from his mama, the melody spirals and climbs and you can't really tell what she's saying but who cares because",Joe Tangari,95,Pitchfork,The Top 100 Singles of 2000-04
Basement Jaxx,Where's Your Head At?,2001,"I don't know if it's those man-faced monkeys eating vinyl in the video, or that descending three-note synth line, but there's something about this track that's just beautifully evil and devious. The way the titular question is barked-- ""WHERE'S! YOUR! HEAD! AT! AT! AT! AT!""-- is unnerving, and the mix of whiplash synth whines and round robin growling doesn't do much to settle me down. Wes Craven (a filmmaker known for giving folks a bit of a fright, intentionally and otherwise) has said a film is scariest when the filmmaker has no scruples as to what they will and will not show on screen. The Jaxx are equally unscrupulous, as dayglo kitchen-sink works like Rooty can attest-- any and all genres are just dollops of color on a pallette to be applied liberally and shamelessly in ways that make Kindergarten finger painting look like works by Mark Rothko. So, yeah, it's on Astralwerks, and it has a good beat, but it's infused and informed by so many other things that classifying ""Where's Your Head At?"" simply as ""house"" does the Jaxx a grave disservice. And this glorious piece of music",David Raposa,94,Pitchfork,The Top 100 Singles of 2000-04
Usher [ft. Ludacris and Lil Jon],Yeah,2004,"I gave in. After three years of cellphone ownership and scoffing at what I perceived to be a contemptible tributary of our culture's frivolous spending habits, I bought a ring tone, and this track was it. The telltale flute perk that rolls into the chorus made an irresistible MIDI rendering, and Lil' Jon's whizzing synth line sealed the deal. On an album full of great singles, ""Yeah"" was the catalyst. It's how Usher salvaged himself and gave a superfluous push to a man who was going places regardless. Like ""Cry Me a River"" before it, ""Yeah"" reprimanded us for our instinctual skepticism of teen idols. Now that we're a safe distance from the first-wave of late 90s boy bands and puerile sensations, I almost wish more artists would trigger incredulous responses of, ""This... from him?"" But that would only take the spotlight off Usher's talents.",Sam Ubl,93,Pitchfork,The Top 100 Singles of 2000-04
Clipse,Grindin',2002,"The Neptunes quietly blew the roof off with this one, a stripped-down stomp of syncopation-and-fingersnaps marching into a signature low-gravity melody that sounded like a popcorn maker on Mars. ""The world is about to feel something they never felt before,"" Pharrell announced, followed by a chorus of silky ""uh-ah""s and ""woofs,"" making ""Grindin'"" possibly the most sensual track about drug-dealing ever produced. Like Pusha T said, ""I'm the neighborhood pusha/ Call me subwoofer/ 'Cause I push 'base' like that, jack."" This was Clipse's first hit, with Pusha T and Malice justifying the dirt-life corner-hustle because, when you come from nothing, why quit a job that keeps you in Gucci Chuck Taylors? It glides along, tunnel-visioned, as though in the throes of a cocaine dream, from Pusha's intro verse to Malice's tantalizing picture of wealth: ""Cocky, something that I just can't help/ 'Specially when them 20s is spinning like windmills/ And the ice 32 below minus the wind chill."" Finally, Pusha clears away the dazzle and cuts to the grit: ""Kids call me Mr. Sniffles/ Other hand on my nickel-plated whistle/ One eye closed, I'll hit you."" There's no 'caine hustle without the streets; and when you're steady on the grind, the glitter gets ugly",Julianne Shepherd,92,Pitchfork,The Top 100 Singles of 2000-04
Cam'ron [ft. Juelz Santana],Hey Ma,2003,"After two albums that garnered street buzz but didn't exactly put the Diplomats' Cam'ron over the top like Sly Stallone, he appeared in 2002 wielding a fresh contract with Roc-a-Fella and the ill-mannered ""courtship"" single ""Hey Ma"". Over a loping piano sampled from the Commodores' ""Easy Like Sunday Morning"", his Dipset cronie, Mr. Congeniality Juelz Santana, opens with a pick-up line to a club-going Mrs. Robinson. And though it's Cam's track, Santana steals the song with his inimitably charming/condescending game: ""I'm 18 and live a crazy life/ Plus I tell you what the 80s like."" In other words: ""come home with me...even though you old."" Backhanded non-compliments are a Dipset crew forte, but because this is a fantasy of the boys' own composition, even Cam's skeptical ex-girlfriend lets him ""hit, plus dome."" It's amazing anyone in the Diplomats can get a date after this song-- but its ridorkulously simplistic chorus (""Hey ma."" ""What's up?"" ""Let's slide."" ""All right."" ""All right."" ""We gon' get it on tonight."") sounded terrific over summertime airwaves. To further prove Cam would most definitely go there with his impressively syntactical but jugheaded lyricism, the song following this one on Come Home With Me is a pained public service announcement on the perils of STDs. Cam'ron tracks are a lot like watching ""Jackass""-- they're absurd and endlessly fascinating, especially if you could never try this at home. And ""Hey Ma"" set the stage for the purple street-worship Cam currently enjoys.",Julianne Shepherd,91,Pitchfork,The Top 100 Singles of 2000-04
Black Dice,"Cone Toaster"" / ""Endless Happiness",2003,"With the fragmented art-thump of ""Cone Toaster"", Black Dice descended upon the nation's discotheques like a small swarm of bewildered locusts, forging their wary truce with the dancepunk minions. For the first few minutes of this epic track, the group is content to dodge about the outskirts of the throbbing beat with pixilated snatches of cymbal and guitar hammering out sparks upon microscopic anvils. As negotiations progress, live drums and dangerous splinters of guitar are allowed past the velvet ropes, and soon Black Dice are permitted to hit the clubs with free agent swagger before riding triumphantly out of town on a galloping crest of tom-toms. On the flip, Boredoms' Yamatsuka Eye squeezes the panoramic seascapes of Beaches &amp; Canyons ' ""Endless Happiness"" down to their pearly essence, filling the perfumed air with trade-wind echoes and ocean-sized drums. As per their usual, Black Dice abandoned these templates before the wax had dried, leaving this single behind as yet another fascinating pair of outgrown, discarded wings.",Matthew Murphy,90,Pitchfork,The Top 100 Singles of 2000-04
Kanye West,Through the Wire,2003,"The song that announced Kanye's promotion from the liner notes to the marquee sounds endearingly homemade now that he's become a superstar, the product of bedridden rehab boredom and West's desperation to prove his MC talents. Obviously, Kanye spent the majority of his car accident recovery thinking up one-liners to describe the experience, as ""Through the Wire"" has more jokes and pop culture references than a standup routine-- mirth exacerbated by his unintentional Don Corleone impression. But like his converted poetry slam ""All Falls Down"", it'd all just be a list of clever phrases were it not for the music, as good a time-capsule entry as any for the sped-up soul sample craze West rode to the top. Here it's Chaka Khan put through the munchkinizer, and with a slight modification on the original song's words, she ends up offering rapturous commentary on the best party jam ever written about reconstructive facial surgery.",Rob Mitchum,89,Pitchfork,The Top 100 Singles of 2000-04
TV on the Radio,Staring at the Sun,2003,"TV on the Radio's rogue Young Liars EP made nary a misstep, but the song that rightly drew the most attention was ""Staring at the Sun"". Tunde Adebimpe's woolly, meditative cooing set the mood, foreboding something huge: a massive, industrial synth line, which-- like God, or a skyline-- humbled and inspired anyone who came near it. After ""Staring at the Sun"", Brooklyn was no longer avoidable. What had been just another estate in the Kingdom of Hip was suddenly a bastion of musical intrepidness. The song's hotwiring of Adebimpe's barbershop-lectern croon and a swollen synth pulse blew open the doors to the massive talent mining the post-9/11 boroughs for inspiration, where TV on the Radio are still at the helm, a year and a Shortlist Prize later.",Sam Ubl,88,Pitchfork,The Top 100 Singles of 2000-04
Freelance Hellraiser,A Stroke of Genius,2001,"I can just imagine the reaction of folks getting sucker-punched by a non-Julian voice emerging from the Strokes' ""Hard to Explain"": ""Oh my god! You got teenpop in my indie rock! How could you?"" Well, you know, this thing we call technology is a wonderful negotiator. In a world where the regular means of musical consumption (radio, video, retail) strove to keep 'em segregated, the Internet casually broke down barriers with just a click of a button. And in a world where the meticulous pop music essayed by Christina Aguilera was portrayed by a few cranks as The Enemy-- something that prevented hard-working, reputable, song-writing, instrument-playing Good Guys like the Strokes from realizing the fame and riches that is rightfully theirs-- it's nice to know someone was able to call ""bullshit"" on this tepid trumped-up war, and set it to music. No, the combination of the Strokes' music with Xtina's vocals from ""Genie in a Bottle"" isn't totally seamless-- the chorus doesn't gel so well with its accompaniment-- but that's OK. This isn't about two individual parts subsuming their individuality for the sake of conformity. This is about unity. This is about Freelance Hellraiser taking two great mutually exclusive tastes, and showing that they taste great together. This is about a brave handful of producers and musicians telling the 21st century, ""No, walk this way."" ""A Stroke of Genie-us"" didn't end the war by any means, but if there's a peace to be had in the future, this is where the olive branches took root.",David Raposa,87,Pitchfork,The Top 100 Singles of 2000-04
Clinic,Distortions,2001,"Never has Clinic's VU influence been clearer than on this ""Pale Blue Eyes"" for an information century. The boys behind the masks pour a can of soul all over a clicky, programmed drum beat, Ade Blackburn's distinctive bleat sighing images yearning and disturbing through clenched teeth. ""I want to know my body/ I want this out not in me"" he pleads as a single note on a keyboard rises in support. ""I've pictured you in coffins/ My baby in a coffin/ But I love it when you blink your eyes"" says he in the most sweetly deranged way; it's gently melodic but there is a hint of malice in there somewhere. The band is masterfully minimal",Joe Tangari,86,Pitchfork,The Top 100 Singles of 2000-04
The Arcade Fire,Neighborhood #1 (Tunnels),2004,"A) The ideal attention-deficit tutorial for indie-rock's last twelve (ascendant) years, featuring equal dollops of piano, emo, retro, reverb, propulsiveness, epic panic, and stark murk. B) A magnet for haters afraid of music that inflates the moment, as if one's youth would be better spent in a hairshirt appreciating This Heat demos. C) The single that'd make Ken Jennings say to Alex Trebek, ""What would happen if the Walkmen and Bright Eyes and Neutral Milk Hotel co-performed over an atmosphere-duel in the next room between Peter Buck and The Edge?"" D) The most deserving recipient of Disney's oxymoron ""instant classic"" since the 8-track-shaped iPod case. E) A gourmet execution of a crucial dirge-boogie recipe: one scoop nostalgia, one scoop adolescence, one scoop melancholy, one scoop of cheeseless romance, and a pinch of grandiosity, hyperventilated for five minutes. F) The first song you heard by the most energizingly divisive, and biggest group (in terms of members and ripples) since Belle &amp; Sebastian. G) Inspiration for hoping against hope that the band name refers to a burnt offering not of video game hubs but of arcades as they were known in the early twentieth century (the glass-and-steel, shop-speckled structures that led to modern malls); we don't need no water, and we're only pretending to miss our parents/virginity/neighborhood.",William Bowers,85,Pitchfork,The Top 100 Singles of 2000-04
Dr. Dre,Forgot About Dre,2000,"A summary, for those of y'all coming to the game late: Dre said, ""fuck rap, you can have it back"". Of course, the insult master also said, ""if y'all don't like me, blow me,"" which is a pretty disappointing come back from the man who once said ""fuck da police"". Don't mind him, though-- he's been working his ass off to get out from under Death Row's shadow while simultaneously getting his own label (Aftermath) off the ground. And, to be honest, he's feeling a little slighted that everyone seems to have already forgotten about The Chronic and Snoop and NWA and, you know, the West Coast colossus known as G-funk. Getting irked over that is justified. As far as Dre pitching a fit because folks are claiming he ""turned pop""-- whatever. For one, it'd be easier to take an anti-pop stand on a track that doesn't feature Eminem Slim-Shadying like the rubbed-out love muffin of Bobcat Goldthwait and Police Academy 's Michael Winslow. For another, getting all defensive over a smoothed-out set of synth strings and a plink-plank-plunk faux guitar isn't the best way to puff out your chest and show your dominance. It is, however, a great way to get attention. The best way for Dre to prove critics wrong is to do what he's been doing since the days of Compton and MC Ren",Joe Tangari,84,Pitchfork,The Top 100 Singles of 2000-04
Jay-Z [ft. UGK],Big Pimpin',2000,"In 2005, the genius Jay-Z's ho-hustle persona/new-money flagrancy seems but a distant memory, now shadowed by his not-yet-cashed-in 401k and one savvy swoop up into Def Jam's boardroom. But at the turn of the century, ""Big Pimpin'""-- with a ""forever mackin'"" Jay expressing his penchant for big chips and ""throwaway"" chicks, in a flow that flipped and smacked like a deck of playing cards-- was thee baller's anthem, the pinnacle of the egregious bling track, and a tres appropro introduction to the first four years of the G.W. Bush Administration. It's snaked through by Timbaland's sly, smirking whistle-melody, and has radio-stock-upping guest verses from UGK's Bun B and Pimp C, on which they sounded careless and carefree-- like they had their feet up on the couch. After all, the rich man's lifestyle is the one without stress-- or at least, that's how it plays out on the yacht featured in the video. (You thought the chorus ""Ri-i-i-i-ide"" was about a car?!) ÔCourse, it was such a strong, swaggering track that Jay got tagged with the ""big pimpin'"" moniker for years afterwards, imbuing a complex dude with a mono-dimensional persona...but the media's pretty much over that now.",Julianne Shepherd,83,Pitchfork,The Top 100 Singles of 2000-04
The Postal Service,Such Great Heights,2003,"Love is wide-eyed, unaffectedly unironic, and comes with bitchin' retro-synth bleeps. That's a lesson Pitchfork was initially reluctant to learn, tripping over the hearts-in-your-eyes lyrics about matching freckles and perfectly aligned kisses that lay claim to Ben Gibbard's painstakingly beautiful melody. In hindsight, the progression from the perfectly cheesy yet beloved pop songs like the Lightning Seeds' early-90s ""Pure"" to the Postal Service's ""Such Great Heights"" is so obvious, and the latest iteration is no less exuberant. In a year in which Gibbard released a pair of well-received albums, ""Such Great Heights"" was his finest track",Marc Hogan,82,Pitchfork,The Top 100 Singles of 2000-04
Kanye West,Jesus Walks,2004,"Religion and hip-hop get down like Flav and Brigette Nielsen. The two feuding lovers feign fisticuffs and trade high fives but despite any shortcomings, you'll find the church and the emcee curled up, spooning by the fireplace. When African-American churches abandoned the Gospels' social relevance for the mantle of political power, hip-hop picked up the reigns, birthing a generation of Adidas-tongued street activists. But then the jiggyism of the 90s made like Galactus, swallowing worlds of integrity and everything else. But post- Blueprint anno domini, the Kanyefluenza hit and gave the Windy City Mighty Mouse an unprecedented cache. Behind the weight of ""Through the Wire"", ""Slow Jamz"", and ""All Falls Down"", The College Dropout moved crazy units, and ""Jesus Walks"" struck the FM dial. With earnest lines like ""Lord, show me the way cuz the devil's trying to break me down"" and a beat like a Shawshank two-step, ""Jesus Walks"" embodied the conflicted emcee caught between the Cross and Cavalli. So is it a true altar call or an advertisement for Jacob's studded Blue Ice Savior? That said, Ma$e and Kon should work out their internal conflicts before they pick up their pastor's robes from the dry cleaners.",Jamin Warren,81,Pitchfork,The Top 100 Singles of 2000-04
Liars,ins to Make Us More Fish-Lik,2002,"By the time their first album reached us, Liars had established themselves as unfiltered, incendiary, furious, cacophonous, barely-containable dance-punkers. But above all that, they wanted to subvert expectations. Liars are natural pranksters, and the Fins EP was-- along with the 30-minute track that closed their debut-- proof that the band was comfortable defying expectations. ""Pillars Were Hollo and Filled With Candy So We Tore Them Down"" foreshadows the creepy noise-chants (and the Halloween-esque themes) of We Were Wrong, So They Drowned while retaining bits of their former ESG funk and frantic delivery. The lurching ""Everyday Is a Child With Teeth"" borders on atonal. Their one concession to dancepunk is a cleaner recording of ""Grown Men Don't Fall in the River, Just Like That,"" a snapshot of the band's former dynamics. With this single, Liars' plan of attack was explicitly laid out, meaning it was inscrutable.",Jason Crock,80,Pitchfork,The Top 100 Singles of 2000-04
