Artist,Song,Year,Review,Reviewer,Ranking,Source,Source Title
Post Malone,Rich & Sad”,2018,"On April 11, 1964, the burgeoning Beatles both topped theBillboardcharts with “Can’t Buy Me Love” and set a record for the most songs in the Top 20 by a single artist, with six. That record held for 54 years, until this May, when Post Malone placedninetracks in the Top 20, including “Rich & Sad” at No. 14. Some may consider this changing of the guard a pop travesty of apocalyptic proportions—or, at least, a shameless byproduct of newfangled streaming metrics—but there is actually some kismet at work here. “Rich & Sad” is buoyed by a psychedelic wheeze that recalls nothing less than “Strawberry Fields Forever,” and the song’s regretful message is a 21st-century twist on Paul McCartney’s 1964 revelation that more money does not necessarily lead to love. “I would throw it all away/I just keep on wishin’ that the money made you stay,” Post laments, sobbing into a pile of hundred dollar bills. The track brings the latent woe in the singer’s voice to the fore—how he often seems to be sinking in quicksand while yowling of the spoils of success, like a forehead-tatted canary in late capitalism’s doomed coal mine. Because as long as there are rich pop stars who need real love, there will be songs about how they can’t afford to find it.",Ryan Dombal,100,Pitchfork,The 100 Best Songs of 2018
Miya Folick,Stock Image”,2018,"For Miya Folick, the traditional stress relief of a therapeutic soak isn’t working. At the start of “Stock Image,” she climbs in the warm water but only remembers to leave when it’s become so cold that she’s physically blue, too. In this vulnerable moment, she forgives herself for her faults and embraces her eccentricities: “You hide in the bones of a stock image,” she sings at the close of her chorus, her voice taking on a sudden operatic tremor. Pulsing drums and radiant synths propel and lift her, goading her into sharing intimate details—the hair swept under her bed, the long stares in her mirror, the fact that she struggles with it all. Avoiding escapism and platitudes, Folick pushes past hardship by first accepting it. “Stock Image” is a rare multivalent motivational song, as much a poke in the ribs as it is a reassuring pat on the back.",Grayson Currin,99,Pitchfork,The 100 Best Songs of 2018
Mac Miller,Self Care”,2018,"Mac Miller let us know he wasn’t all right. In interviews, the rapper was always open about addiction, and on his final album,Swimming, he was even more candid and unflinching. No song painted a grimmer portrait of his final months than “Self Care,” a stark account of the external and internal forces that drove him to self-medicate; the track's only relief comes in the form of a woozy coda that plays like an implicit relapse. Following his death, the song is even more difficult to listen to, especially a wishful line about having all the time in the world. Miller may have recognized that he was waging a losing battle, but there’s still something beautiful about his resolve to keep fighting.",Evan Rytlewski,98,Pitchfork,The 100 Best Songs of 2018
Young Fathers,In My View”,2018,"There are biblical overtones to “In My View,” from Young Fathers’ third album,Cocoa Sugar. In this Scottish trio’s half-rapped, half-sung verses, references to kings, saints, sinners, and Delilah abound, and wisps of background vocals evoke a holy choir. If this is a hymn, though, it’s a harsh one, with a chorus insisting that progress comes with a price, possibly suggesting an eye-for-an-eye worldview. But nothing in “In My View” is perfectly clear, even if it is one of Young Fathers’ most accessible tracks to date. The group is still adept at crafting music and messages that don’t lend themselves to easy interpretation, no matter how clearly the words are delivered. So “In My View” becomes a sinewy soul song that swings and sways while riding an undercurrent of tension and uncertainty. Sweating out a marching band beat while simultaneously meditating on desire and betrayal, Young Fathers make anxiety sound smooth, and then the opposite, too.",Marc Masters,97,Pitchfork,The 100 Best Songs of 2018
Sharon Van Etten,Comeback Kid”,2018,"Maybe now people can stop calling Sharon Van Etten “confessional” and stop assuming her songs are purely autobiographical. In “Comeback Kid,” the first single from her forthcoming LPRemind Me Tomorrow, she comes across as something between a film noir heroine, anOutsiders-esque rebel, and an aging boxer. She’s put away the strings and pedal steels in favor of synth and organ, at times bringing to mindSiouxsie Sioux. And in the song’s video, she’s all dark-pop ’80s glam in blood red lipstick, with an unwavering stare. “I’m the runaway, I’m the stay-out-late,” she declares, tough and incandescent.",Rebecca Bengal,96,Pitchfork,The 100 Best Songs of 2018
Frank Ocean,Moon River”,2018,"Joaquin Oliver, an avowed Frank Ocean fan who lovedBlondeso much he’d dyed his own hair to match, was only 17 when he was gunned down in the Marjory Stoneman Douglas High School shooting this past February. The same day, Ocean released a cover of the melancholy “Moon River,” fromBreakfast at Tiffany’s. It was a coincidence; Ocean has made a habit of dropping songs untethered to any external schedule, preserving his shrouded, shamanic presence. On its own, his version already had a haunting quality, his quivering voice splitting harmonies over plaintive keys. But accordingto reports, some friends of Oliver’s saw the confluence as “divine timing,” the lyrics about a “moon river, wider than a mile” and “crossing it in style someday” ringing like a blessed premonition of their friend peacefully floating away. There have been so many random shocks of tragedy this year that mourning can feel a daily experience. But here, in Ocean’s chance release of “Moon River,” was proof of our world’s unplanned joys, too. It was the ether providing a balm at the same time it produced tragedy: an old-fashioned song sung in 1961 by Audrey Hepburn, pitch-shifted by a modern healer into something to soothe us. Joaquin Oliver might never have gotten to hear the song, but Frank Ocean’s “Moon River” will now always be his, a tiny consolation for a tragedy too big.",Alex Frank,95,Pitchfork,The 100 Best Songs of 2018
Amber Mark,Love Me Right”,2018,"“Love Me Right” is a wounded plea to a romantic partner who’s gone cold, a sumptuous R&B anthem that dips into house, samba, even smooth jazz. It’s also a neat snapshot of what New York singer, songwriter, and producer Amber Mark does so well. Her lyrics are conversational, relating to feelings anyone could experience, and her delivery rarely feels flashy. But her husky voice and globe-trotting sensibility bring all this to a place of understated opulence. In songs, as in relationships, intimacy sometimes means not having to spell everything out for the other person—and in the case of “Love Me Right,” the other person justdoesn’tget it, and it’s not clear if they ever will. So when Mark asks, “Why won’t you realize you gotta love me right baby?” it already sounds like she’s moving on.",Marc Hogan,94,Pitchfork,The 100 Best Songs of 2018
Aphex Twin,T69 Collapse”,2018,"It’s hard to think of another electronic artist who’s enjoyed a late-career rejuvenation like Richard D. James. Instead of glum, self-plagiarizing stagnation, his artistic middle age has been a sustained eruption of surprise and delight. Continuing his current run, theCollapseEP bursts its skin with ripening creativity: a feeling of plenitude caught in its vocal snippet that promises to lead the listener to “the land of abundance.” Opener “T69 Collapse” is an apt herald of the richness within. It starts with the whispery crispness of intricately edited beats, skidding and slipping like a tap-dancer on an oily floor: a flashback to the serene frenzy of late-’90s drill‘n’bass, when James and his IDM comrades strove to beat jungle at its own breakbeat game. But things get really interesting mid-song, when the collapse referenced in the title occurs: a juddering tumble of drums that feels like an astrophysical rupture, time itself swirling down the cosmic plughole. The tune then pulls itself together like reversed film of an explosion, gliding out with feverishly dainty beatwork offset by a typically Aphex pensive melody, daubed in milky synth so tonally smeared it feels like your ears are being pulled out of focus. Twenty-seven years into his recording career and approaching his life’s half-century mark, James exhibits a limber vitality and an evergreen joy in creation that’s as remarkable as it is enviable.",Simon Reynolds,93,Pitchfork,The 100 Best Songs of 2018
Charli XCX,Track 10”,2018,"Released at the very end of last year, Charli XCX’sPop 2mixtape saw the electro-pop star perfecting her ongoing collaboration with maximalist bubblegum collective PC Music. Closer “Track 10” serves as a fitting end to a record in which angelic, sugary electronics easily turn dark, even grotesque. An odyssey of trust issues, the song is able to achieve that rare balance between extreme artifice and total honesty: Amid an effervescent rush of beats and vocal loops, Charli XCX hits the bridge and suddenly we’re home free, fear turned to fearlessness under the force of her belt. Her voice frays through the Auto-Tune at one point, like a speck of mud flung onto something very shiny, before giving way to harps and trap. As this crumbling volcano of a song goes down, it leaves the listener with one last “It’s Charli, baby” whispered in their ear. As if it could be anyone else.",Jillian Mapes,92,Pitchfork,The 100 Best Songs of 2018
700 Bliss,Ring the Alarm”,2018,"Fellow Philadelphians Moor Mother and DJ Haram each make dense, noisy music on their own, butSpa 700, their debut EP under the name 700 Bliss, is as subtle as it is bracing. On the release’s sparse highlight “Ring the Alarm,” Haram constructs a rhythm that’s both insistent and halting, creating an experience that feels like listening to your own heartbeat. Into this web, Moor Mother injects blunt statements rapped with authoritative urgency, punctuating her repeated phrases with quick breaths. One of her bullet-like couplets—“You heard what I said/That anti-black’s programmed in your head”—sticks particularly hard, shot as it is through the barrel of Haram’s increasingly intense samples. The duo’s imperatives for action are certainly clear and timely, but “Ring the Alarm” shows that political music can be nuanced and brutally effective at once.",Marc Masters,91,Pitchfork,The 100 Best Songs of 2018
