Artist,Song,Year,Review,Reviewer,Ranking,Source,Source Title
Len,“Steal My Sunshine”,1999,"Of all the great one-hit wonders of the ’90s, Len’s “Steal My Sunshine” might be the most enduring and the most inexplicable. Somehow, a pair of Canadian siblings managed to capture the essence of Southern California in a single that turned into a summertime perennial. The song comes into view slowly, like a mirage shimmering on the edge of a sun-bleached horizon. Its foundational sample of Andrea True Connection’s disco classic “More, More, More” reveals itself as a grounding mantra, then the bliss goes widescreen once Len crash into the verse. Marc and Sharon Costanzo share a lackadaisical vocal affect—it sounds like they hit the studio directly after getting burned on the beach—but where so many slackers couldn’t be bothered to shape their slothfulness into hooks, Len cares deeply about leisure: They’re committed to wasting away the hours that make up a dull day. Because nothing sounds better than doing absolutely nothing.",Stephen Thomas Erlewine,250,Pitchfork,The 250 Best Songs of the 1990s
Wu-Tang Clan,“Triumph”,1997,"No need to address Inspectah Deck’s opening lines, which everyone who cares about the Wu-Tang Clan already knows by heart, and has probably tried rapping themselves at some point. They’re great, but they stick in your head above the others partly by virtue of coming first. What about Raekwon’s white-gold tarantula, rhymed—unbelievably but perhaps inevitably—with “substantial-a”? Even U-God gets an all-timer in there, singing a song from Sing-Sing, sipping on ginseng. The monumental first single from their sprawling and uneven second album, “Triumph” is the Wu’s last great stand as a nine-man team and one of hip-hop’s greatest posse cuts. Over suitably dusty RZA production, with nothing remotely resembling a chorus, they go in for six minutes about Marvel comics and Mortal Kombat; Tennessee Williams and Laurel & Hardy; champagne bottles and squabbles with rival crews; and, of course, the will of the Wu to rule it all. They were never particularly aligned with commercial trends, but in 1997, at the dawn of the shiny suit era, this sort of wordy mythologizing was especially unfashionable. And yet, with no concessions to the mainstream save its blockbuster music video, it went platinum. The first line of the final verse provides the most apposite reaction: “Ayo, that’s amazing.”",Andy Cush,249,Pitchfork,The 250 Best Songs of the 1990s
Ani DiFranco,“Both Hands”,1990,"Ani DiFranco kicked off her studio discography with a mature song about the end of an affair that she recorded when she was just 18. The opening track off her self-titled debut, which was also the first release from her DIY label Righteous Babe, “Both Hands” hangs sensual recollections on a skeleton of trembling acoustic guitar. Flickering between a slam-poetry cadence and the frantic trill of a Gen X Joni Mitchell, the bisexual-icon-to-be narrated the dissolution of a formative relationship with a person of unspecified gender, whose physical contours read as female. It would take a few years for DiFranco to become the default soundtrack of coffeehouses and women’s centers, but with “Both Hands”—still her most popular track—she arrived as both a throwback to folk’s idealistic hippie heyday and a prophet of sexual revolutions to come.",Judy Berman,248,Pitchfork,The 250 Best Songs of the 1990s
Fugazi,“Smallpox Champion”,1993,"While colonizing the Americas in the 1700s, officers from Britain enacted biological warfare by intentionally gifting blankets infected with smallpox to Indigenous Americans. Though historians debate if the method even worked, it’s a revolting act immortalized in the diaries of those who pulled it off—and the history lesson at the heart of In on the Kill Taker’s most energizing track. Led by Guy Picciotto’s fuming vocals, “Smallpox Champion” is a scathing condemnation of U.S. genocide filtered through Fugazi’s rousing brand of post-hardcore. Between Brendan Canty’s aggressive tom hits and Ian Mackaye’s wiry guitar noise lies a protest song without any of the typical cliches or moral preaching. Instead, Picciotto delights in the promise of retribution: “History rears up to spit in your face.” By the time its whammy-bar riffs ring out and its “cha-cha-cha” chants start, Fugazi sound almost joyful. “You’ll get yours,” cheers Picciotto. “Woohoo-hoo!”",Nina Corcoran,247,Pitchfork,The 250 Best Songs of the 1990s
Wilson Phillips,“Hold On”,1990,"“Hold On” stitches together the camp and corniness left over from the ’80s, chintzy piano, and what should sound like affirmations stitched on throw pillows—open your heart and mind, tomorrow will be easier, you’re responsible for your own happiness—into a panoramic anthem. The track begins with a tingle of percussion and just the suggestion of strings before those schmaltzy chords chime in. Beneath the sweet sheath of harmonies and lilting melody, Wilson Phillips issue a command: just keep going. It’s a plea packaged as a pep talk: “Hold On” was Wilson Phillips’ first single, and they needed the hit to slide out of their parents’ shadows (consisting of descendants of both Brian Wilson and the Mamas & the Papas, the band was soft-rock royalty). With “Hold On,” they asked to be taken seriously, on their own terms—with the hope that you, too, could recognize your potential, even if only for one more day.",Dani Blum,246,Pitchfork,The 250 Best Songs of the 1990s
Refused,“New Noise”,1998,"Refused get blamed for everything that came after their genre-exploding masterwork “New Noise”: nu-metal, Hot Topic-core, rudimentary techno beats dropped casually into the breakdowns of hardcore songs. But what elevates this song above mere pastiche is its finely tuned balance. Here, the Swedish hardcore band is painfully self-serious, but also looser and more playful than most of their peers and imitators. Every part of the song does its job: The circuitous intro signals the arrival of something momentous, the verses build tension, and the choruses hit with meteoric force. With unwavering confidence, Refused promised a new sound and then actually delivered an opus that pointed a way forward for heavy music in the new millennium.",Mehan Jayasuriya,245,Pitchfork,The 250 Best Songs of the 1990s
Deborah Cox,“Nobody’s Supposed to Be Here”,1998,"Deborah Cox spent the first six months of her music career touring as a backup singer for Celine Dion, a crash course in how to make every note a spectacle. On her breakout hit, “Nobody’s Supposed to be Here,” the smallest shifts are mesmerizing—the jagged edge in her throat when she admits love has knocked her down, the way the vowel caves in when she sings the word “sad,” the shock of shriek that builds up as she belts the chorus. Gentle percussion and chimes swirl in the background, and the song winds around and around Cox’s circular thinking, as she spirals through dejection, hope, and refusal, all leading up to a cathartic key change. “I’m not supposed to care anymore,” she moans as the track trickles out, a final sigh before she gives in.",Dani Blum,244,Pitchfork,The 250 Best Songs of the 1990s
Dismemberment Plan,“You Are Invited”,1999,"By the time the Dismemberment Plan released Emergency & I, in 1999, the band didn’t fit into any existing niche. Born from Washington, D.C.’s punk scene, they twitched around rhythms more like nervous jazzbos. Embraced by indie rock fans, their third album was bankrolled, and then ditched, by an easily distracted major label. Emo? Fine—but “You Are Invited,” the record’s affecting centerpiece, also did icy electronic drum throbs a year before Radiohead’s “Idioteque,” and witty post-punk speak-singing a cultural eon before LCD Soundsystem’s “Losing My Edge.” Its message, delivered by Travis Morrison with genial yearning, was simple: What if you got a sheet of paper guaranteeing you could never be left out of the party again? The uncanny similarity between the “since you’ve been gone” refrain on another great Emergency & I song, “The City,” and Kelly Clarkson’s subsequent smash hinted at D-Plan’s potential to transcend boundaries of genre and scene; on a wide-eyed journey toward fist-pumping catharsis, “You Are Invited” embodies that welcoming generosity of spirit. It’s an all-access pass to self-acceptance—and like the main character in the song, you’ll immediately want to pay it forward to the next person who needs it.",Marc Hogan,243,Pitchfork,The 250 Best Songs of the 1990s
Naughty by Nature,“Feel Me Flow”,1995,"Even the most ambitious spiritual lyrical miracle MC would be hard-pressed to match the pace of Treach’s nimble tongue on “Feel Me Flow.” Yet Naughty by Nature’s missive feels less like a flex than a dare: Can you party as hard as they do? Atop a twinkling sample of the Meters’ “Find Yourself,” this 1995 song-of-the-summer candidate finds Treach stuffing bars with rhymes and mocking the nerds who can’t keep up. The East Orange, New Jersey rap group balanced their grit with a bit of goofiness (not unlike their Newark neighbor Redman), best evidenced by the accompanying music video, in which the whole hood is transported from summer on the block in Jersey to winter on the slopes in Vermont.",Matthew Ismael Ruiz,242,Pitchfork,The 250 Best Songs of the 1990s
Robyn,“Show Me Love”,1995,"Robyn Is Here was the name of the Swedish pop wunderkind’s debut album, but could anyone have understood what a poignant and prophetic statement it would be? In the years to come, Robyn would recalibrate pop with her specific brand of shattered euphoria, songs that doused you in glitter even while seeping into your every ache. But as a teen hitmaker, she crash-landed on the U.S. charts with a handful of glinting, gooey singles. “Show Me Love” is a blast of Max Martin confection, with syrupy synths and the sugar rush of Robyn’s belt in the chorus, trapping the burgeoning star in amber.",Dani Blum,241,Pitchfork,The 250 Best Songs of the 1990s
